PLAYER_NAME,TEAM_ABBREVIATION,TS%,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,BPM,VORP,Pos
Nikola Vu?evi?,CHI,0.611,0.309,0.144,8.3,25.2,16.9,17.1,1.2,2,9.7,22.4,2.5,0.1,2.6,PG
Noah Clowney,BKN,0.516,0.702,0.215,4.5,15.8,9.9,5.9,1.1,2,10.2,19,-3.1,-1,-4.1,SF
Norman Powell,LAC,0.615,0.453,0.28,1.2,9.6,5.5,10.2,1.8,0.5,9.2,26.1,1.7,-0.2,1.5,PF
Obi Toppin,IND,0.642,0.503,0.19,4.1,18.7,11.5,11.9,1.4,1.6,9.5,20.1,1.8,-0.1,1.7,SG
Ochai Agbaji,TOR,0.601,0.474,0.09,3.7,11.4,7.5,7.9,1.6,1.6,8.9,14.6,-0.9,0.2,-0.7,PG
OG Anunoby,NYK,0.591,0.448,0.22,4.2,11,7.6,8.5,2,2.2,8.3,19.7,0.7,0.1,0.7,SF
Olivier-Maxence Prosper,DAL,0.484,0.293,0.437,8.4,15,11.8,9.1,2.2,0.9,6.3,16.3,-1.6,-0.5,-2.1,C
Onyeka Okongwu,ATL,0.634,0.216,0.316,11.4,24,17.5,11.4,1.6,3,10.4,17.3,1.2,0.2,1.3,PF
Orlando Robinson,TOR,0.519,0.199,0.268,12.1,18.7,15.4,14,1.1,2,14.4,18.5,-3,-0.4,-3.4,C
Oso Ighodaro,PHX,0.61,0.011,0.267,7.2,16.2,11.9,9.1,1.3,2.6,15.7,10.5,-2.9,0.3,-2.6,PF
Ousmane Dieng,OKC,0.538,0.568,0.128,4.9,16.3,10.7,9.6,2,1.7,12,15.7,-2,1.1,-0.9,PG
P.J. Washington,DAL,0.556,0.359,0.298,5,20.9,13.1,10.1,1.7,2.8,13.6,20.4,-1.1,0.2,-0.9,C
Paolo Banchero,ORL,0.551,0.299,0.423,3.5,22.4,12.5,26,1.1,1.7,11.2,33.6,3.4,0.2,3.5,SG
