Player,Team,Pos,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,BPM,VORP
Cam Whitmore,HOU,SF,0.549,0.454,0.179,4.5,15.1,9.7,8.9,1.8,1.4,9.6,23.9,0.7,-0.4,0.3,0.5
Aaron Wiggins,OKC,SG,0.596,0.466,0.122,5.1,12.9,9.1,10.6,1.7,1,8.3,20.3,1.3,-0.2,1.1,1.4
Andrew Wiggins,2TM,SF,0.566,0.415,0.306,5.1,10.8,7.9,13.5,1.6,2.6,9.4,24.5,1.2,-0.3,0.9,1.4
Alondes Williams,DET,SG,1.25,0.5,0,0,0,0,65,0,0,0,21.1,37.9,6.2,44.1,0
Brandon Williams,DAL,PG,0.634,0.319,0.351,2.7,10.1,6.5,23.2,2.4,0.9,15.2,22.6,1,-0.1,1,0.4
Cody Williams,UTA,SG,0.419,0.525,0.156,2.8,8.7,5.7,7.4,1,1.4,13.8,12.5,-6.1,-1.2,-7.3,-1.4
Grant Williams,CHO,PF,0.596,0.602,0.301,3.9,14.5,9.1,11.3,1.8,2.7,16.7,14.8,-2.3,0.7,-1.6,0.1
Jalen Williams,OKC,SG,0.573,0.291,0.256,2.9,14.6,8.8,23.4,2.4,2.1,10.3,27.5,2.7,1.4,4,3.4
Jaylin Williams,OKC,PF,0.594,0.692,0.136,6.7,28.7,17.9,19,1.3,3.7,13,14.6,1.5,2.7,4.3,1.2
Kenrich Williams,OKC,PF,0.587,0.483,0.11,6.3,16.3,11.4,11,1.8,0.9,9.5,15.4,-0.4,0.9,0.6,0.7
Mark Williams,CHO,C,0.647,0.009,0.365,11.8,29.3,20.3,16.5,1.3,4.5,12,21.4,2.5,0.9,3.5,1.6
Nate Williams,HOU,SG,0.496,0.419,0.129,3.6,5.9,4.7,8.8,2.6,2.4,17.6,22.3,-5.5,-0.2,-5.7,-0.1
Patrick Williams,CHI,PF,0.512,0.527,0.161,2.9,12.7,7.9,10.3,1.4,1.8,13.5,16.9,-3,-0.7,-3.7,-0.7
Robert Williams,POR,C,0.679,0.038,0.218,10.5,26.3,18.2,8.6,1.8,8.5,16.6,12.2,-0.1,3.2,3,0.4
Vince Williams Jr.,MEM,SG,0.504,0.569,0.144,4.7,15.9,10.4,13.8,1.1,1.3,15.7,17,-2.5,-0.3,-2.8,-0.1
Ziaire Williams,BRK,SF,0.55,0.581,0.237,4.3,17.5,10.6,8.5,2,1.8,10.5,18.2,-2.2,-0.1,-2.3,-0.1
Zion Williamson,NOP,PF,0.6,0.026,0.474,9.3,18.2,13.6,36.6,2.1,3,12.8,34.7,5.9,1,7,1.9
Jalen Wilson,BRK,PF,0.541,0.584,0.266,4,11.4,7.5,10.8,1,0.2,10.2,16.6,-2.6,-1.3,-3.9,-1
James Wiseman,IND,C,0.615,0.25,0.5,0,22.1,11.1,0,0,0,0,42.2,6,-4.4,1.6,0
Isaiah Wong,CHO,SG,0.5,0.314,0.324,5.5,7.4,6.4,16.5,2,0,13,22.1,-2.9,-1,-4,-0.1
Delon Wright,2TM,PG,0.44,0.557,0.191,4.9,6.5,5.7,15,2.7,1.8,13.4,11.3,-2.8,1.4,-1.4,0.1
Guerschon Yabusele,PHI,C,0.616,0.487,0.245,7.7,16.3,11.8,11.6,1.5,1.2,12.2,16.3,0.1,-1.1,-1,0.5
Jahmir Young,CHI,PG,0.935,0.4,0.4,3.6,6.9,5.2,26.2,0,0,14.5,9.6,1.2,-0.8,0.5,0
Trae Young,ATL,PG,0.567,0.467,0.408,1.4,8.2,4.7,46.4,1.6,0.4,17.9,29.6,3.3,-2.7,0.5,1.7
Ivica Zubac,LAC,C,0.641,0,0.251,13.1,30.2,21.8,12.8,1,3.4,10.8,19.5,2.3,0.8,3.1,3.4
