Player,Team,Pos,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,BPM,VORP
Pat Connaughton,MIL,SG,0.567,0.458,0.175,3.6,15.6,9.8,15.8,0.7,1.7,11.2,15.6,-1.4,-0.8,-2.3,0
Bilal Coulibaly,WAS,SF,0.515,0.359,0.296,4.8,10.9,7.8,14.9,1.9,1.9,15.1,17.9,-3,-0.7,-3.7,-0.8
Ricky Council IV,PHI,SF,0.502,0.46,0.33,4.4,15.4,9.7,11.4,1.3,1,8.9,20.3,-2,-2.3,-4.3,-0.7
Torrey Craig,2TM,SF,0.567,0.733,0.133,9.3,15.6,12.5,7.2,1.3,3.5,7.7,14.1,-1,0.1,-0.9,0.1
Isaiah Crawford,SAC,SF,0.509,0.455,0.364,2.4,17.1,9.7,2.8,1.1,4.3,7.3,12.9,-3.4,-0.7,-4.1,0
Jae Crowder,SAC,PF,0.467,0.682,0.273,6.5,15.3,10.9,7.1,1.4,0,14,12,-3.8,-0.5,-4.3,-0.1
Cui Yongxi,BRK,SG,0.19,0.429,0.286,0,23.8,11.4,0,0,0,0,34.4,-16.8,-8.2,-24.9,-0.1
Cade Cunningham,DET,PG,0.565,0.287,0.254,2.5,16.5,9.6,43,1.4,2.1,16,33.2,3.8,0.1,3.9,3.7
Seth Curry,CHO,SG,0.616,0.531,0.114,2.4,9.1,5.7,8.8,1.3,0.6,8.2,15.7,-0.8,-0.9,-1.7,0.1
Stephen Curry,GSW,PG,0.618,0.623,0.238,1.9,13.3,7.4,31.3,1.7,1.3,12.6,29.8,6.4,0,6.3,4.8
Tristan Da Silva,ORL,SF,0.522,0.495,0.13,4.9,12.7,8.6,10.3,1,1.1,9.9,15.2,-2.3,-0.3,-2.6,-0.3
Pacôme Dadiet,NYK,SG,0.446,0.613,0.194,3.1,15.4,9.3,5.6,1.3,1.7,10.6,14.7,-4.9,-1.5,-6.5,-0.1
Dyson Daniels,ATL,SG,0.545,0.255,0.152,5.1,14.2,9.6,17.9,4.2,2,13.6,18.2,-1.1,2.6,1.5,2.3
N'Faly Dante,HOU,C,0.789,0,0.385,12.3,32,21.9,5.7,1,8.8,11.6,13.9,0.7,1.7,2.4,0.1
Anthony Davis,2TM,C,0.588,0.136,0.405,9.1,29.1,19.4,18.3,1.7,6,9.5,30.4,3.9,1.5,5.4,3.2
Johnny Davis,WAS,SG,0.473,0.372,0.192,4.3,12.1,8.2,6.6,2.9,2.2,7.6,15.9,-3.5,0.7,-2.8,0
Terence Davis,SAC,SG,0,0.5,0,0,14,7,14.1,0,0,0,10.8,-12.8,-4.1,-16.9,0
JD Davison,BOS,PG,0.445,0.529,0.206,2.3,12.8,7.6,19.1,2.7,1,26,23.6,-5.9,-0.3,-6.2,-0.1
RayJ Dennis,IND,PG,0.443,0.636,0.061,3.2,15.8,9.6,26.9,4.8,2.6,12.9,24,-2.2,3,0.7,0
DeMar DeRozan,SAC,SF,0.569,0.196,0.337,2,10.1,6,18.7,1.1,1.1,6.5,25,1.2,-1.2,-0.1,1.3
Moussa Diabaté,CHO,C,0.609,0.021,0.414,15.7,22,18.8,6.8,1.8,3.2,15.6,13.4,-1.4,-0.4,-1.9,0
Gradey Dick,TOR,SG,0.543,0.504,0.24,2.9,10.3,6.5,8.9,1.5,0.6,10.4,21,-1.9,-1.3,-3.2,-0.5
Ousmane Dieng,OKC,C,0.538,0.568,0.128,4.9,16.3,10.7,9.6,2,1.7,12,15.7,-2,1.1,-0.9,0.1
Rob Dillingham,MIN,PG,0.503,0.351,0.071,2.6,8,5.4,28.4,1.9,0.2,19.6,22.7,-3.3,-0.9,-4.2,-0.3
Spencer Dinwiddie,DAL,PG,0.553,0.478,0.356,0.9,9.5,5.3,22.1,1.6,0.7,11.4,17.9,-0.9,-0.7,-1.6,0.2
Donte DiVincenzo,MIN,SG,0.582,0.739,0.106,2.2,13.3,7.9,20.2,2.2,1,13.8,19.4,0.8,1.1,1.9,1.6
Luka Don?i?,2TM,PG,0.587,0.469,0.385,2.6,22.6,12.8,36.1,2.5,1.1,13,33.9,5.5,1.2,6.7,3.9
Luguentz Dort,OKC,SF,0.586,0.696,0.078,4.7,10.3,7.6,6.9,1.8,1.9,7.7,13.6,-0.6,0.8,0.2,1.2
Ayo Dosunmu,CHI,SG,0.585,0.421,0.176,2,10,6.1,20.2,1.4,1.1,12.5,16.6,-1.4,-0.2,-1.6,0.1
Jeff Dowtin Jr.,PHI,PG,0.57,0.304,0.196,2.1,9.1,5.5,19.6,1.9,1.9,5.7,18.6,0.7,-0.5,0.2,0.3
PJ Dozier,MIN,SG,0.621,1,2,3.2,12.5,7.9,18.1,1.4,0,15.1,8.2,-2,2.7,0.7,0
Andre Drummond,PHI,C,0.535,0.085,0.385,15.8,31.6,23.4,6.8,2.6,2.4,16.7,19.1,-2.4,-0.8,-3.2,-0.2
Chris Duarte,CHI,SG,0.61,0.577,0.308,7.2,20.9,14.2,16.6,0,0,3.3,17.2,2.2,-1,1.2,0.1
Alex Ducas,OKC,SG,0.583,0.7,0.067,7.9,14.3,11.2,4.8,1.9,0,11.5,11.8,-2.1,0.1,-2,0
David Duke Jr.,SAS,SG,0.538,0.429,0.143,3.1,12.6,7.9,17,1.4,0,11.8,21.2,-0.1,-1.4,-1.5,0
Kris Dunn,LAC,PG,0.531,0.513,0.05,3.4,12.4,8,15.6,3.5,1.5,14.2,12.7,-2.8,3.4,0.6,1.2
Ryan Dunn,PHO,SF,0.517,0.553,0.082,7.5,13.5,10.6,5.7,1.5,2.7,7.5,16.7,-2.9,-1.2,-4.1,-0.7
Kevin Durant,PHO,PF,0.642,0.331,0.321,1.2,16.9,9.2,19.6,1.1,3.2,12.9,28.7,3.9,-0.7,3.2,3
Jalen Duren,DET,C,0.703,0,0.443,15.2,28.7,22,14.7,1.3,4.2,17.2,16.4,1.6,1.5,3.1,2.7
Tari Eason,HOU,PF,0.567,0.329,0.186,9.4,17.9,13.6,8.5,3.3,3.2,9.7,19.4,1,2.6,3.6,2
Zach Edey,MEM,C,0.624,0.12,0.293,17.5,23.4,20.5,6.1,1.2,5.5,15.3,16.4,-0.2,0.1,-0.1,0.7
Anthony Edwards,MIN,SG,0.595,0.503,0.308,2.4,14.8,8.7,20.9,1.6,1.7,12,31.4,4.4,0,4.3,4.6
Jesse Edwards,MIN,C,,,,0,0,0,23.6,0,0,,0,-8.8,4.7,-4,0
Justin Edwards,PHI,SF,0.559,0.503,0.122,4.3,10.4,7.3,8.9,1.9,1.4,11,16.9,-2.1,-1.6,-3.7,-0.5
Kessler Edwards,DAL,SF,0.597,0.4,0.096,4,16.3,10.3,9.1,1.5,2.8,10.2,11.1,-2,0.6,-1.4,0.1
Keon Ellis,SAC,SG,0.664,0.692,0.185,3.4,8.8,6.1,8,3,3.2,12.4,12.7,-0.1,2,1.9,1.9
Joel Embiid,PHI,C,0.58,0.244,0.537,6.8,24.5,15.3,25.6,1.2,3.1,13.7,34.2,3.7,-0.3,3.5,0.8
Tyson Etienne,BRK,PG,0.488,0.846,0.192,2.2,4.7,3.4,11.9,1,0.7,12.4,18.6,-5.7,-3.1,-8.8,-0.3
Drew Eubanks,2TM,C,0.622,0.031,0.366,8.9,24.1,16.5,10.6,0.8,5,15.4,15.1,-1.2,0.6,-0.7,0.3
Tosan Evbuomwan,BRK,SF,0.53,0.35,0.332,5.2,15.8,10.2,12.9,1.8,1.5,13.4,19.1,-3,-0.3,-3.2,-0.2
Danté Exum,DAL,PG,0.589,0.396,0.231,1.2,8.3,4.8,21.5,1.6,0.7,13,19.6,-1.2,-1.1,-2.3,0
Bruno Fernando,TOR,C,0.552,0,0.163,15,22.4,18.6,17.9,1.3,5.8,21,18.9,-3,2.3,-0.7,0.1
Kyle Filipowski,UTA,C,0.594,0.425,0.276,8,23.1,15.6,13.9,1.5,1.4,14.9,18.7,-0.6,-0.3,-1,0.4
Dorian Finney-Smith,2TM,PF,0.604,0.722,0.103,5,10.4,7.7,6.9,1.6,1.2,11,12.3,-1.1,0.1,-1,0.5
Adam Flagler,OKC,SG,0.335,0.75,0.021,3.8,10.3,7.1,7.3,1.9,1.5,4,21.1,-8.1,-2.3,-10.3,-0.4
Trentyn Flowers,LAC,SF,0.446,0.182,0.273,4.3,12.4,8.4,0,0,0,7.5,21.5,-7.1,-1.3,-8.3,0
Malachi Flynn,CHO,PG,0.512,0.308,0.462,7.1,9.9,8.5,23.3,3.4,0,20.4,19,-4.4,1.5,-2.8,0
Simone Fontecchio,DET,SF,0.544,0.609,0.225,4.7,14.5,9.6,6.9,1.2,0.9,11.6,15.8,-2.2,-0.7,-2.9,-0.3
De'Aaron Fox,2TM,PG,0.56,0.328,0.273,2.7,12.1,7.4,27.2,2,1.1,11.8,28.3,1.3,-1,0.4,1.3
Enrique Freeman,IND,PF,0.507,0.27,0.514,6.8,11.6,9.2,6.1,0.8,1.5,11.7,12.3,-4.9,-1.4,-6.3,-0.2
Markelle Fultz,SAC,PG,0.452,0.119,0.015,3.6,8.5,6.1,20,2.7,1.1,18.2,19.3,-4.5,-0.2,-4.7,-0.1
Johnny Furphy,IND,SG,0.506,0.543,0.239,6.8,14,10.4,6.2,2.3,2.6,10.6,13,-3,0.6,-2.5,0
Daniel Gafford,DAL,C,0.716,0,0.486,14.1,20.3,17.2,10.2,0.9,7.1,11.9,19.5,2.7,1.1,3.8,1.8
Darius Garland,CLE,PG,0.6,0.451,0.217,2.3,7.6,5,32.2,1.9,0.4,12.8,27.2,3.9,-0.8,3.1,3
Marcus Garrett,CHO,SG,0.487,0.296,0.148,1.3,6.9,4,25.1,1.9,2.5,17.3,18.7,-5.4,-2.2,-7.6,-0.1
Luka Garza,MIN,C,0.573,0.343,0.333,16,11.5,13.7,8.2,1.4,1.3,9.1,26.2,-0.4,-1.9,-2.3,0
Keyonte George,UTA,PG,0.539,0.552,0.31,1.3,11.5,6.5,26.9,1,0.4,14.9,24.3,-0.2,-2.5,-2.7,-0.3
Kyshawn George,WAS,SG,0.503,0.648,0.17,2.8,13.7,8.2,13.3,1.8,2.5,14.2,15.9,-3.8,-0.3,-4.1,-0.9
Paul George,PHI,PF,0.543,0.47,0.17,2,17.2,9.3,20.9,2.8,1.5,14.7,23.5,-0.5,0.1,-0.4,0.5
Taj Gibson,CHO,C,0.515,0.021,0.211,13,18.4,15.6,7.5,1.1,4.3,19.4,13.4,-5.2,-0.1,-5.3,-0.3
Josh Giddey,CHI,PG,0.57,0.348,0.281,6.4,21.4,14,32.9,1.9,1.8,18.4,21.7,1.9,1.1,3,2.7
Shai Gilgeous-Alexander,OKC,PG,0.637,0.263,0.404,2.8,12.6,7.8,31.3,2.4,3,8.6,34.8,8.9,2.6,11.5,8.9
Anthony Gill,WAS,PF,0.586,0.352,0.568,4.7,12.6,8.6,5.7,1.1,0.5,8.3,12.7,-3,-1.5,-4.5,-0.3
Collin Gillespie,PHO,PG,0.578,0.57,0.139,5.5,13.2,9.4,24,2.3,1,9.2,17.7,2.3,0.2,2.5,0.5
Rudy Gobert,MIN,C,0.687,0,0.535,12.5,23.8,18.2,7.5,1.2,4.1,12.4,13,0.6,1.3,1.9,2.4
Jordan Goodwin,LAL,PG,0.541,0.472,0.076,8.1,14.9,11.6,10.5,2.7,1.9,14.9,14.1,-1.7,0.8,-0.8,0.2
Aaron Gordon,DEN,PF,0.65,0.346,0.36,6.4,12.1,9.4,15,0.8,0.9,11.3,19,2.7,-1.5,1.2,1.2
Eric Gordon,PHI,SG,0.591,0.672,0.235,1.1,5.8,3.4,12,1.7,1.5,11.1,14.4,-0.8,-0.8,-1.6,0.1
Jazian Gortman,DAL,PG,0.485,0.478,0.174,2,7.5,4.8,14.7,1.7,1.5,16.8,22.4,-5.5,-0.8,-6.3,-0.1
Jerami Grant,POR,PF,0.523,0.516,0.289,1.8,10,5.8,9.5,1.3,2.7,9.1,19.4,-1.4,-0.3,-1.6,0.1
A.J. Green,MIL,SG,0.621,0.856,0.064,1.2,9.8,5.7,8.5,1.1,0.4,8.4,12.6,-1.7,-0.4,-2.2,-0.1
Draymond Green,GSW,PF,0.534,0.483,0.289,3.9,19,11.2,26.2,2.4,3.4,23.3,15.9,-2.3,2.8,0.5,1.3
Jalen Green,HOU,SG,0.544,0.46,0.234,1.7,13.4,7.4,16,1.3,0.9,11.4,27.3,1.1,-0.5,0.5,1.7
Javonte Green,2TM,SG,0.541,0.491,0.265,5,13.9,9.4,5.9,2.5,2.4,9.1,11.8,-2.8,0.5,-2.3,-0.1
Jeff Green,HOU,PF,0.649,0.653,0.215,2.9,12.9,7.8,7,0.7,0.9,6.4,14.7,0.3,0,0.4,0.2
Josh Green,CHO,SG,0.559,0.589,0.171,3.1,6.7,4.9,8.2,1.9,0.8,13.4,11.8,-4.5,0.2,-4.3,-1.1
Quentin Grimes,2TM,SG,0.595,0.512,0.26,3.2,14.7,8.9,17.7,1.8,1,13.3,22.8,1.3,-0.9,0.4,1.2
Mouhamed Gueye,ATL,PF,0.52,0.474,0.246,8.8,20,14.3,6.6,2.5,5.7,7.3,15.7,-1.6,1,-0.6,0.2
Rui Hachimura,LAL,PF,0.619,0.429,0.196,4.9,12.6,8.9,6.4,1.2,1.3,7.3,15.8,-0.1,-0.6,-0.7,0.6
Tyrese Haliburton,IND,PG,0.616,0.559,0.221,1.9,9.7,5.9,38.9,2.1,1.8,9.8,21.6,5.7,0.2,5.8,4.9
PJ Hall,DEN,C,0.641,0.333,0.167,10.5,25.4,18.3,8.4,0,5.4,7.2,17.8,-0.7,-0.6,-1.3,0
Tim Hardaway Jr.,DET,SG,0.567,0.672,0.213,0.9,8.4,4.7,7.6,0.8,0.3,6.1,15.5,-1.1,-0.9,-2.1,0
James Harden,LAC,PG,0.582,0.516,0.446,2.3,16.1,9.3,36.8,2.1,2,18,29.6,3.5,0.8,4.3,4.4
Jaden Hardy,DAL,SG,0.549,0.476,0.208,1.1,9.4,5.3,13.2,1.5,0.5,15.4,25.3,-2.8,-1.9,-4.7,-0.6
Elijah Harkless,UTA,SG,0.425,0.714,0.171,7.1,9.3,8.2,7.7,3.5,0.7,7.4,12.3,-5.2,1.5,-3.8,-0.1
Ron Harper Jr.,DET,SF,0.225,0.75,0.25,26.3,19.4,22.8,14.3,0,0,0,22,-5.5,-9.2,-14.7,0
Gary Harris,ORL,SG,0.524,0.759,0.09,3.1,7.5,5.2,5.8,1.8,1.6,10.9,9.5,-3.9,1.2,-2.7,-0.1
Tobias Harris,DET,PF,0.571,0.328,0.206,3.1,17.5,10.4,9.8,1.5,2.4,8.8,17.6,-0.5,0.6,0.1,1.2
Josh Hart,NYK,SG,0.611,0.327,0.266,6.4,22.6,14.6,20.7,2,0.9,15.5,15.3,1.1,1.8,2.8,3.6
Isaiah Hartenstein,OKC,C,0.599,0.04,0.244,11.2,29.6,20.6,18.3,1.4,3.9,15.3,16.7,0.6,2.6,3.2,2.1
Sam Hauser,BOS,PF,0.632,0.842,0.023,3.1,12.7,7.9,5.8,1.3,0.8,4.6,14.3,0.9,-0.1,0.8,1.1
Jordan Hawkins,NOP,SG,0.504,0.597,0.176,2,11.2,6.5,7.3,1.1,1.7,8.8,21,-2.4,-3,-5.4,-1.2
Jaxson Hayes,LAL,C,0.72,0.013,0.439,8.3,19.1,13.9,7.5,1.4,4.4,13.9,12.4,-1.6,1.3,-0.3,0.5
Killian Hayes,BRK,PG,0.559,0.488,0.279,3.3,9.6,6.3,28.6,1.2,2.5,15.7,15.5,-0.5,-0.1,-0.6,0.1
Scoot Henderson,POR,PG,0.54,0.434,0.301,3.1,9.2,6.1,28.1,1.9,0.7,18.6,22.5,-1.4,-0.8,-2.2,-0.1
Taylor Hendricks,UTA,PF,0.354,0.667,0.222,7.2,14.3,10.8,3.4,3.2,5,9.2,12.1,-4.8,1.3,-3.5,0
Tyler Herro,MIA,SG,0.605,0.486,0.237,1.4,14.6,8.1,26.2,1.3,0.6,11.5,28,3.8,-0.7,3.1,3.5
Buddy Hield,GSW,SG,0.56,0.698,0.081,2.9,12.7,7.6,10.7,1.8,1.2,10.1,20.5,-0.7,-0.3,-1,0.5
Haywood Highsmith,MIA,SF,0.583,0.596,0.11,4.4,10.8,7.7,8.4,1.9,2,11.6,11.3,-2.7,0.9,-1.9,0.1
Aaron Holiday,HOU,PG,0.594,0.675,0.153,1.7,8.9,5.2,14.3,1.2,1.2,11.5,16.8,-0.4,0.1,-0.2,0.3
Jrue Holiday,BOS,PG,0.565,0.534,0.134,4.4,10.8,7.6,17.3,1.7,1.3,11.3,15.8,-0.3,1,0.7,1.3
Ron Holland,DET,SF,0.556,0.363,0.293,3.5,15.5,9.5,8.9,1.9,1.3,13.3,18.1,-3.3,0.3,-3,-0.3
Richaun Holmes,WAS,PF,0.695,0.022,0.432,12,22.5,17.2,12.1,0.8,3.9,11.3,14.7,1.2,0,1.1,0.4
Chet Holmgren,OKC,C,0.599,0.34,0.393,6,25,15.7,9.7,1.3,8.2,12.3,22,0.5,1.9,2.4,1
Jalen Hood-Schifino,2TM,SG,0.494,0.469,0.214,1.1,9,4.9,16.7,0.8,2.2,14.4,17.3,-4.4,-2.5,-6.9,-0.4
Al Horford,BOS,C,0.563,0.681,0.082,5.2,18.9,12.1,10.4,1.1,2.8,8.8,13.8,0.1,1.1,1.2,1.3
Talen Horton-Tucker,CHI,SG,0.567,0.419,0.337,2.8,11.5,7.2,16.1,1.4,1.3,10.7,21.6,-1.4,-1.1,-2.4,-0.1
Caleb Houstan,ORL,SF,0.605,0.842,0.089,2.6,8.6,5.5,6.4,1.4,0.7,6.2,11.7,-2.4,0.2,-2.2,0
Jett Howard,ORL,SF,0.491,0.71,0.088,3.1,8.6,5.7,9.6,0.9,1.5,11.7,19.2,-4.1,-1.2,-5.3,-0.6
Kevin Huerter,2TM,SG,0.544,0.647,0.081,2,11.3,6.7,12.6,1.9,1.3,9.7,17.5,-1.8,-0.2,-2,0
Jay Huff,MEM,C,0.666,0.656,0.184,4.3,13.9,9.1,7,1,6.9,9.3,19.6,2.5,1,3.5,1.1
Ariel Hukporti,NYK,C,0.654,0,0.419,7.5,19.4,13.5,6.4,0.2,6.4,36.4,11.6,-6.5,0.9,-5.6,-0.2
De'Andre Hunter,2TM,SF,0.623,0.509,0.333,2.7,13.4,8.1,7.5,1.4,0.7,8.6,22.8,1.2,-0.8,0.4,1
Bones Hyland,2TM,PG,0.576,0.695,0.22,2.4,9.3,5.9,20.1,3.7,1.7,16.2,28.2,0.9,1.8,2.7,0.3
Oso Ighodaro,PHO,PF,0.61,0.011,0.267,7.2,16.2,11.9,9.1,1.3,2.6,15.7,10.5,-2.9,0.3,-2.6,-0.2
Joe Ingles,MIN,SF,0.326,0.652,0,2,8.6,5.4,25.4,0.9,0,28.1,12.2,-6.9,-0.1,-7,-0.1
Brandon Ingram,NOP,SF,0.56,0.345,0.165,3,15.5,9.1,26.8,1.3,1.8,16.2,30.2,1.4,-1.7,-0.3,0.3
Harrison Ingram,SAS,SF,0.5,0.25,0,6.1,21.5,13.8,10.6,4.1,0,20,6.1,-3.6,2.4,-1.2,0
Kyrie Irving,DAL,SG,0.594,0.38,0.226,3.7,10.6,7.2,20.5,1.8,1.1,9.7,27.4,3.9,-0.5,3.4,2.5
Jonathan Isaac,ORL,PF,0.512,0.466,0.33,12,21.5,16.5,5.5,2.8,7,8.2,16.2,-1.1,1.8,0.7,0.7
Jaden Ivey,DET,SG,0.569,0.373,0.281,5,10.3,7.6,19.7,1.5,1.2,16.1,26,0.8,-0.8,0,0.5
Andre Jackson Jr.,MIL,SG,0.554,0.386,0.122,7.5,12.5,10.1,10.9,1.7,1.3,21.8,11.9,-3.6,0.2,-3.4,-0.3
GG Jackson II,MEM,PF,0.482,0.477,0.201,6.3,14.8,10.6,8.2,1.2,1,12.5,21.7,-3.3,-2,-5.3,-0.4
Isaiah Jackson,IND,C,0.6,0,0.609,14.7,22.3,18.6,8.1,1.7,8.6,14.6,17.6,-1,1.8,0.8,0.1
Jaren Jackson Jr.,MEM,C,0.591,0.321,0.328,4.4,15.5,10,10.1,1.9,4.7,9.9,28.1,1.6,0.8,2.3,2.4
Quenton Jackson,IND,PG,0.58,0.328,0.328,4.1,8.7,6.4,18.6,2.6,1.2,10.3,17.7,-1.2,0.8,-0.3,0.2
Reggie Jackson,PHI,PG,0.496,0.556,0.068,2.3,10.4,6.2,17.1,2.1,0.8,11,17.5,-3.2,-0.8,-4,-0.2
Trayce Jackson-Davis,GSW,C,0.587,0.01,0.338,13.2,21.7,17.3,16.1,1.2,3.7,11.5,17.1,0.3,0.9,1.2,0.8
Bronny James,LAL,SG,0.424,0.478,0.209,2.6,8.5,5.6,16.5,2.4,1.6,15.1,20.9,-5.9,-1.3,-7.2,-0.2
LeBron James,LAL,SF,0.604,0.312,0.261,3.4,21.2,12.6,40.3,1.4,1.5,15.5,30.1,4.9,0.7,5.6,4.7
Jaime Jaquez Jr.,MIA,SF,0.543,0.258,0.307,6.8,16.5,11.7,17.9,2.2,1,15.7,20.2,-1.4,0.5,-0.9,0.4
DaQuan Jeffries,CHO,SG,0.518,0.564,0.103,3.6,10,6.7,7.2,1.2,2.3,10.3,13.5,-4,-0.7,-4.7,-0.7
Trey Jemison,2TM,C,0.537,0,0.446,12.4,17.1,14.8,5.5,1.1,3.6,21.3,12.4,-6.3,-0.5,-6.8,-0.5
Daniss Jenkins,DET,PG,0.322,0.7,0.2,0,9.6,4.8,17.3,0,0,8.4,21.8,-10.2,-5.7,-15.8,-0.1
Ty Jerome,CLE,SG,0.643,0.409,0.239,4,9.3,6.7,24.5,2.7,0.2,11.9,23.6,3.5,0.8,4.3,2.2
Isaiah Joe,OKC,SG,0.617,0.793,0.095,2.8,10.1,6.6,9.7,1.4,0.6,5.8,17.2,1.4,-0.1,1.3,1.4
AJ Johnson,2TM,SG,0.48,0.423,0.174,1.3,8.3,4.8,17.1,0.9,0.4,13.2,17.4,-5.6,-2.5,-8.1,-1
Cameron Johnson,BRK,PF,0.632,0.546,0.301,3.3,12.8,7.8,18.5,1.5,1.4,10.5,22.9,3.5,-0.4,3.1,2.3
Jalen Johnson,ATL,SF,0.569,0.26,0.232,5.2,26,15.3,20.5,2,2.6,15.1,22.5,0.5,1.4,1.8,1.2
James Johnson,IND,PF,0.35,0.273,0.091,0,17.9,9,13.7,0,4.9,25.9,18,-9.6,-0.2,-9.7,-0.1
Keldon Johnson,SAS,SF,0.572,0.356,0.252,6.5,15.1,10.8,10.2,1.3,1.1,8.3,21.6,0,-1.6,-1.6,0.2
Keon Johnson,BRK,SG,0.499,0.515,0.178,3.5,14.5,8.8,14.6,2.1,1.5,12.1,21.7,-3.1,-0.1,-3.3,-0.6
Keshad Johnson,MIA,SF,0.718,0.269,0.346,6.8,24.6,15.8,6.3,2.5,3.9,11.8,15.4,-1,0.9,-0.1,0
Nikola Joki?,DEN,C,0.663,0.243,0.331,9,28.2,19.1,44.1,2.4,1.6,12.8,29.5,9.9,3.3,13.3,9.8
Colby Jones,2TM,SG,0.544,0.38,0.271,4.3,13.6,9,12,2.4,2.4,13.7,13.7,-3.3,0.4,-2.8,-0.1
Derrick Jones Jr.,LAC,SF,0.609,0.372,0.2,5.7,10.1,8,4.6,2.1,1.7,9.3,16.5,-1,0.7,-0.3,0.8
Dillon Jones,OKC,SF,0.464,0.474,0.211,6,17.3,11.8,12.6,1.4,0.7,16.2,13.3,-4.3,0.3,-4,-0.3
Herbert Jones,NOP,SF,0.541,0.419,0.233,3.6,9.6,6.5,13.8,2.8,1.3,15.6,14.6,-3.9,0.2,-3.6,-0.3
Isaac Jones,SAC,PF,0.678,0.096,0.434,8.1,12.9,10.5,5.6,0.8,3.2,13.9,16.3,-0.9,-0.8,-1.7,0
Kai Jones,2TM,C,0.804,0.046,0.294,9.6,19.7,14.8,7.9,1.6,4.6,12.8,13,1.4,1.5,2.9,0.6
Mason Jones,SAC,SG,0.569,0.444,0.278,5,17.5,11.2,35.6,0,2.2,4.7,20.3,3.5,-0.6,2.9,0.1
Spencer Jones,DEN,SF,0.368,0.5,0.088,7.4,7.5,7.5,4.7,1.9,3.6,12.4,13.7,-7.7,-0.8,-8.5,-0.2
Tre Jones,2TM,PG,0.617,0.202,0.282,3.7,9.9,6.8,28.6,1.9,1,11.6,14.1,0.5,1,1.5,0.8
Tyus Jones,PHO,PG,0.585,0.587,0.083,2.1,7.8,5,27.7,1.6,0.3,11.4,16.2,1.4,-1.3,0.1,1.1
DeAndre Jordan,DEN,C,0.621,0,0.457,14,30.3,22.6,9.5,1.1,3.5,19.2,12.8,-1.4,0.2,-1.2,0.2
Cory Joseph,ORL,PG,0.547,0.695,0.117,3,11.2,6.9,17,2.1,0.6,10,12.8,-2.3,1.4,-0.8,0.2
Nikola Jovi?,MIA,PF,0.595,0.557,0.231,2.5,14.6,8.6,16.6,1.6,1.1,12.6,18.3,-0.3,0.6,0.3,0.7
Johnny Juzang,UTA,SG,0.573,0.661,0.112,3.6,12,7.8,7.9,1.5,0.6,6.7,17.6,-0.9,-1.4,-2.3,-0.1
Yuki Kawamura,MEM,PG,0.53,0.767,0.3,0,13.5,6.8,25.1,1,0,12.8,16.9,-2.6,-0.2,-2.8,0
Kylor Kelley,2TM,C,0.644,0,0.455,10.4,23.4,16.8,5.3,0.4,2.1,13.2,10.3,-3.5,-1.9,-5.4,-0.1
Luke Kennard,MEM,SG,0.631,0.606,0.132,2.7,10.4,6.6,18.5,1.6,0.3,13.6,14.5,0.9,0.2,1.1,1.2
Walker Kessler,UTA,C,0.66,0.081,0.363,16.6,27.1,21.9,8.3,1,7.4,15,13.7,1.1,0.7,1.8,1.7
Braxton Key,GSW,SF,0.226,0.25,1.5,9.5,10.1,9.8,0,8.8,0,13.1,29.3,-13.9,0.3,-13.6,0
Corey Kispert,WAS,SF,0.584,0.584,0.156,2.3,9.5,5.9,9.7,0.8,0.8,9.6,17.5,-1.4,-2.2,-3.7,-0.7
Maxi Kleber,DAL,PF,0.489,0.51,0.219,4.4,11.7,8.1,8.3,0.7,2.3,17.9,8.7,-4.2,0.4,-3.8,-0.3
Bobi Klintman,DET,SF,0.689,0.5,0.2,2.7,15.7,9.2,22.5,2.3,2.3,8.4,11.9,-1,1.9,1,0
Dalton Knecht,LAL,SF,0.594,0.61,0.151,2.9,13.1,8.1,6.5,0.8,0.5,5.9,18.5,-0.1,-1.7,-1.8,0.1
Kevin Knox,GSW,SF,0.582,0.417,0.222,8.7,13.2,10.9,9.4,1.2,4.5,9.2,21.8,-0.7,-0.6,-1.3,0
Tyler Kolek,NYK,PG,0.453,0.573,0.207,3.1,7.3,5.2,29.5,2,1.3,16.7,15.8,-2.6,-0.3,-2.8,-0.1
Christian Koloko,LAL,C,0.624,0.061,0.212,11.9,18.2,15.1,6.4,1.2,4.4,14.3,10.8,-3,0.2,-2.8,-0.1
John Konchar,MEM,SG,0.592,0.681,0.088,7.1,21.4,14.3,8.8,2.5,2.3,14.5,8,-0.7,2.3,1.7,0.5
Luke Kornet,BOS,C,0.683,0.011,0.346,15.2,15.8,15.5,11.9,1.3,4.8,8.8,11.4,1.6,1.7,3.3,1.8
Vít Krej?í,ATL,PG,0.661,0.705,0.154,2,13.1,7.4,16.5,1.5,2.1,13.8,12.9,0,0.7,0.7,0.8
Jonathan Kuminga,GSW,PF,0.535,0.266,0.414,5.1,15.6,10.2,14.6,1.6,1.7,9.6,27.4,-0.5,-0.1,-0.6,0.4
Kyle Kuzma,2TM,PF,0.514,0.369,0.238,3,17.1,10.2,12.1,0.9,0.9,13.5,24,-2.9,-2,-4.9,-1.4
Skal Labissière,SAC,PF,0.625,0.25,0,9.3,18.7,14,11.6,0,0,0,14.3,3.3,-1.3,2.1,0
