,Team,Adju
1,OKC,12.56
2,CLE,8.82
3,BOS,8.67
4,MIN,5.32
5,LAC,4.93
6,HOU,4.79
7,MEM,4.65
8,DEN,3.85
9,NYK,3.59
10,GSW,3.53
11,MIL,2.12
12,DET,1.77
13,IND,1.75
14,LAL,1.45
15,SAC,0.62
16,MIA,0.09
17,Orlando Magic,-0.66
18,DAL,-0.71
19,ATL,-1.27
20,CHI,-1.75
21,SAS,-2.41
22,POR,-2.5
23,PHX,-2.6
24,TOR,-4.51
25,PHI,-6.46
26,BKN,-7.04
27,UTA,-8.54
28,NOP,-8.78
29,CHA,-9.25
30,WAS,-12.02
