Player,Age,Team,Pos,TS%,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,BPM,VORP
Cam Christie,19,LAC,SG,0.349,0.542,5.8,17,11.5,13.7,4.2,1.7,7.2,20.5,-5.5,3,-2.5,0
Max Christie,21,2TM,SG,0.57,0.532,2,11.2,6.7,9.2,1.5,1.3,11.8,15.2,-2.1,-0.5,-2.5,-0.3
Josh Christopher,23,MIA,SG,0.416,0.355,0,14.3,7.2,17.2,3.6,4.2,15.1,25.5,-7.5,-0.4,-7.9,-0.1
Sidy Cissoko,20,2TM,SF,0.471,0.433,7.4,12.4,9.9,17.7,0.9,0.8,24.5,16.6,-4.8,-0.3,-5.1,-0.1
Jaylen Clark,23,MIN,SG,0.598,0.425,5.6,5.6,5.6,6.7,3.4,0.4,5.5,12,-2.9,2.7,-0.2,0.2
Brandon Clarke,28,MEM,PF,0.638,0.045,11.3,17.3,14.3,7.4,2,2.7,8.9,15.3,0,0.8,0.8,0.9
Jordan Clarkson,32,UTA,SG,0.54,0.471,2.8,10.4,6.6,22.9,1.5,0.9,13.4,27.8,0.6,-2.1,-1.5,0.1
Nic Claxton,25,BRK,C,0.569,0.037,9,22.7,15.5,13.7,1.6,5.3,12,16.8,-1.1,1.5,0.4,1.1
Donovan Clingan,20,POR,C,0.574,0.147,17.3,26.1,21.6,8.3,1.2,7.5,15.9,14.2,-1.7,1.4,-0.3,0.6
Noah Clowney,20,BRK,PF,0.516,0.702,4.5,15.8,9.9,5.9,1.1,2,10.2,19,-3.1,-1,-4.1,-0.5
Amir Coffey,27,LAC,SG,0.614,0.484,2.1,8.2,5.2,6.1,1.1,0.4,7.4,15.3,-1.5,-0.2,-1.7,0.1
Isaiah Collier,20,UTA,PG,0.494,0.305,1.9,11.8,6.9,34.3,1.7,0.8,25,18.9,-3.8,-1.5,-5.3,-1.6
John Collins,27,UTA,PF,0.628,0.279,7.9,20.9,14.4,10.8,1.5,3.1,14.6,24.2,1.4,-0.4,1,0.9
Yuri Collins,23,GSW,PG,0.333,0,13.1,6.9,10.1,31.9,6.1,0,0,7.9,-6.2,6.5,0.3,0
Zach Collins,27,2TM,PF,0.605,0.351,11.1,19.9,15.6,15.6,1.4,2.6,15.1,17.1,-0.8,0.8,0,0.5
Mike Conley,37,MIN,PG,0.573,0.662,2.1,9.3,5.7,24.5,2.2,0.7,12.9,14.4,-0.1,1.3,1.2,1.4
Pat Connaughton,32,MIL,SG,0.567,0.458,3.6,15.6,9.8,15.8,0.7,1.7,11.2,15.6,-1.4,-0.8,-2.3,0
Bilal Coulibaly,20,WAS,SF,0.515,0.359,4.8,10.9,7.8,14.9,1.9,1.9,15.1,17.9,-3,-0.7,-3.7,-0.8
Ricky Council IV,23,PHI,SF,0.502,0.46,4.4,15.4,9.7,11.4,1.3,1,8.9,20.3,-2,-2.3,-4.3,-0.7
Torrey Craig,34,2TM,SF,0.567,0.733,9.3,15.6,12.5,7.2,1.3,3.5,7.7,14.1,-1,0.1,-0.9,0.1
Isaiah Crawford,23,SAC,SF,0.509,0.455,2.4,17.1,9.7,2.8,1.1,4.3,7.3,12.9,-3.4,-0.7,-4.1,0
Jae Crowder,34,SAC,PF,0.467,0.682,6.5,15.3,10.9,7.1,1.4,0,14,12,-3.8,-0.5,-4.3,-0.1
