Player,Age,Team,Pos,TS%,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,BPM,VORP
Jett Howard,21,ORL,SF,0.491,0.71,3.1,8.6,5.7,9.6,0.9,1.5,11.7,19.2,-4.1,-1.2,-5.3,-0.6
Kevin Huerter,26,2TM,SG,0.544,0.647,2,11.3,6.7,12.6,1.9,1.3,9.7,17.5,-1.8,-0.2,-2,0
Jay Huff,26,MEM,C,0.666,0.656,4.3,13.9,9.1,7,1,6.9,9.3,19.6,2.5,1,3.5,1.1
Ariel Hukporti,22,NYK,C,0.654,0,7.5,19.4,13.5,6.4,0.2,6.4,36.4,11.6,-6.5,0.9,-5.6,-0.2
De'Andre Hunter,27,2TM,SF,0.623,0.509,2.7,13.4,8.1,7.5,1.4,0.7,8.6,22.8,1.2,-0.8,0.4,1
Bones Hyland,24,2TM,PG,0.576,0.695,2.4,9.3,5.9,20.1,3.7,1.7,16.2,28.2,0.9,1.8,2.7,0.3
Oso Ighodaro,22,PHO,PF,0.61,0.011,7.2,16.2,11.9,9.1,1.3,2.6,15.7,10.5,-2.9,0.3,-2.6,-0.2
Joe Ingles,37,MIN,SF,0.326,0.652,2,8.6,5.4,25.4,0.9,0,28.1,12.2,-6.9,-0.1,-7,-0.1
Brandon Ingram,27,NOP,SF,0.56,0.345,3,15.5,9.1,26.8,1.3,1.8,16.2,30.2,1.4,-1.7,-0.3,0.3
Harrison Ingram,22,SAS,SF,0.5,0.25,6.1,21.5,13.8,10.6,4.1,0,20,6.1,-3.6,2.4,-1.2,0
Kyrie Irving,32,DAL,SG,0.594,0.38,3.7,10.6,7.2,20.5,1.8,1.1,9.7,27.4,3.9,-0.5,3.4,2.5
Jonathan Isaac,27,ORL,PF,0.512,0.466,12,21.5,16.5,5.5,2.8,7,8.2,16.2,-1.1,1.8,0.7,0.7
Jaden Ivey,22,DET,SG,0.569,0.373,5,10.3,7.6,19.7,1.5,1.2,16.1,26,0.8,-0.8,0,0.5
Andre Jackson Jr.,23,MIL,SG,0.554,0.386,7.5,12.5,10.1,10.9,1.7,1.3,21.8,11.9,-3.6,0.2,-3.4,-0.3
GG Jackson II,20,MEM,PF,0.482,0.477,6.3,14.8,10.6,8.2,1.2,1,12.5,21.7,-3.3,-2,-5.3,-0.4
Isaiah Jackson,23,IND,C,0.6,0,14.7,22.3,18.6,8.1,1.7,8.6,14.6,17.6,-1,1.8,0.8,0.1
Jaren Jackson Jr.,25,MEM,C,0.591,0.321,4.4,15.5,10,10.1,1.9,4.7,9.9,28.1,1.6,0.8,2.3,2.4
Quenton Jackson,26,IND,PG,0.58,0.328,4.1,8.7,6.4,18.6,2.6,1.2,10.3,17.7,-1.2,0.8,-0.3,0.2
Reggie Jackson,34,PHI,PG,0.496,0.556,2.3,10.4,6.2,17.1,2.1,0.8,11,17.5,-3.2,-0.8,-4,-0.2
Trayce Jackson-Davis,24,GSW,C,0.587,0.01,13.2,21.7,17.3,16.1,1.2,3.7,11.5,17.1,0.3,0.9,1.2,0.8
Bronny James,20,LAL,SG,0.424,0.478,2.6,8.5,5.6,16.5,2.4,1.6,15.1,20.9,-5.9,-1.3,-7.2,-0.2
LeBron James,40,LAL,SF,0.604,0.312,3.4,21.2,12.6,40.3,1.4,1.5,15.5,30.1,4.9,0.7,5.6,4.7
Jaime Jaquez Jr.,23,MIA,SF,0.543,0.258,6.8,16.5,11.7,17.9,2.2,1,15.7,20.2,-1.4,0.5,-0.9,0.4
DaQuan Jeffries,27,CHO,SG,0.518,0.564,3.6,10,6.7,7.2,1.2,2.3,10.3,13.5,-4,-0.7,-4.7,-0.7
Trey Jemison,25,2TM,C,0.537,0,12.4,17.1,14.8,5.5,1.1,3.6,21.3,12.4,-6.3,-0.5,-6.8,-0.5
Daniss Jenkins,23,DET,PG,0.322,0.7,0,9.6,4.8,17.3,0,0,8.4,21.8,-10.2,-5.7,-15.8,-0.1
Ty Jerome,27,CLE,SG,0.643,0.409,4,9.3,6.7,24.5,2.7,0.2,11.9,23.6,3.5,0.8,4.3,2.2
Isaiah Joe,25,OKC,SG,0.617,0.793,2.8,10.1,6.6,9.7,1.4,0.6,5.8,17.2,1.4,-0.1,1.3,1.4
AJ Johnson,20,2TM,SG,0.48,0.423,1.3,8.3,4.8,17.1,0.9,0.4,13.2,17.4,-5.6,-2.5,-8.1,-1
Cameron Johnson,28,BRK,PF,0.632,0.546,3.3,12.8,7.8,18.5,1.5,1.4,10.5,22.9,3.5,-0.4,3.1,2.3
Jalen Johnson,23,ATL,SF,0.569,0.26,5.2,26,15.3,20.5,2,2.6,15.1,22.5,0.5,1.4,1.8,1.2
James Johnson,37,IND,PF,0.35,0.273,0,17.9,9,13.7,0,4.9,25.9,18,-9.6,-0.2,-9.7,-0.1
Keldon Johnson,25,SAS,SF,0.572,0.356,6.5,15.1,10.8,10.2,1.3,1.1,8.3,21.6,0,-1.6,-1.6,0.2
Keon Johnson,22,BRK,SG,0.499,0.515,3.5,14.5,8.8,14.6,2.1,1.5,12.1,21.7,-3.1,-0.1,-3.3,-0.6
Keshad Johnson,23,MIA,SF,0.718,0.269,6.8,24.6,15.8,6.3,2.5,3.9,11.8,15.4,-1,0.9,-0.1,0
Nikola Joki?,29,DEN,C,0.663,0.243,9,28.2,19.1,44.1,2.4,1.6,12.8,29.5,9.9,3.3,13.3,9.8
Colby Jones,22,2TM,SG,0.544,0.38,4.3,13.6,9,12,2.4,2.4,13.7,13.7,-3.3,0.4,-2.8,-0.1
Derrick Jones Jr.,27,LAC,SF,0.609,0.372,5.7,10.1,8,4.6,2.1,1.7,9.3,16.5,-1,0.7,-0.3,0.8
Dillon Jones,23,OKC,SF,0.464,0.474,6,17.3,11.8,12.6,1.4,0.7,16.2,13.3,-4.3,0.3,-4,-0.3
Herbert Jones,26,NOP,SF,0.541,0.419,3.6,9.6,6.5,13.8,2.8,1.3,15.6,14.6,-3.9,0.2,-3.6,-0.3
Isaac Jones,24,SAC,PF,0.678,0.096,8.1,12.9,10.5,5.6,0.8,3.2,13.9,16.3,-0.9,-0.8,-1.7,0
Kai Jones,24,2TM,C,0.804,0.046,9.6,19.7,14.8,7.9,1.6,4.6,12.8,13,1.4,1.5,2.9,0.6
Mason Jones,26,SAC,SG,0.569,0.444,5,17.5,11.2,35.6,0,2.2,4.7,20.3,3.5,-0.6,2.9,0.1
Spencer Jones,23,DEN,SF,0.368,0.5,7.4,7.5,7.5,4.7,1.9,3.6,12.4,13.7,-7.7,-0.8,-8.5,-0.2
Tre Jones,25,2TM,PG,0.617,0.202,3.7,9.9,6.8,28.6,1.9,1,11.6,14.1,0.5,1,1.5,0.8
Tyus Jones,28,PHO,PG,0.585,0.587,2.1,7.8,5,27.7,1.6,0.3,11.4,16.2,1.4,-1.3,0.1,1.1
DeAndre Jordan,36,DEN,C,0.621,0,14,30.3,22.6,9.5,1.1,3.5,19.2,12.8,-1.4,0.2,-1.2,0.2
Cory Joseph,33,ORL,PG,0.547,0.695,3,11.2,6.9,17,2.1,0.6,10,12.8,-2.3,1.4,-0.8,0.2
Nikola Jovi?,21,MIA,PF,0.595,0.557,2.5,14.6,8.6,16.6,1.6,1.1,12.6,18.3,-0.3,0.6,0.3,0.7
Johnny Juzang,23,UTA,SG,0.573,0.661,3.6,12,7.8,7.9,1.5,0.6,6.7,17.6,-0.9,-1.4,-2.3,-0.1
Yuki Kawamura,23,MEM,PG,0.53,0.767,0,13.5,6.8,25.1,1,0,12.8,16.9,-2.6,-0.2,-2.8,0
Kylor Kelley,27,2TM,C,0.644,0,10.4,23.4,16.8,5.3,0.4,2.1,13.2,10.3,-3.5,-1.9,-5.4,-0.1
Luke Kennard,28,MEM,SG,0.631,0.606,2.7,10.4,6.6,18.5,1.6,0.3,13.6,14.5,0.9,0.2,1.1,1.2
Walker Kessler,23,UTA,C,0.66,0.081,16.6,27.1,21.9,8.3,1,7.4,15,13.7,1.1,0.7,1.8,1.7
Braxton Key,27,GSW,SF,0.226,0.25,9.5,10.1,9.8,0,8.8,0,13.1,29.3,-13.9,0.3,-13.6,0
Corey Kispert,25,WAS,SF,0.584,0.584,2.3,9.5,5.9,9.7,0.8,0.8,9.6,17.5,-1.4,-2.2,-3.7,-0.7
Maxi Kleber,33,DAL,PF,0.489,0.51,4.4,11.7,8.1,8.3,0.7,2.3,17.9,8.7,-4.2,0.4,-3.8,-0.3
Bobi Klintman,21,DET,SF,0.689,0.5,2.7,15.7,9.2,22.5,2.3,2.3,8.4,11.9,-1,1.9,1,0
Dalton Knecht,23,LAL,SF,0.594,0.61,2.9,13.1,8.1,6.5,0.8,0.5,5.9,18.5,-0.1,-1.7,-1.8,0.1
Kevin Knox,25,GSW,SF,0.582,0.417,8.7,13.2,10.9,9.4,1.2,4.5,9.2,21.8,-0.7,-0.6,-1.3,0
Tyler Kolek,23,NYK,PG,0.453,0.573,3.1,7.3,5.2,29.5,2,1.3,16.7,15.8,-2.6,-0.3,-2.8,-0.1
Christian Koloko,24,LAL,C,0.624,0.061,11.9,18.2,15.1,6.4,1.2,4.4,14.3,10.8,-3,0.2,-2.8,-0.1
John Konchar,28,MEM,SG,0.592,0.681,7.1,21.4,14.3,8.8,2.5,2.3,14.5,8,-0.7,2.3,1.7,0.5
Luke Kornet,29,BOS,C,0.683,0.011,15.2,15.8,15.5,11.9,1.3,4.8,8.8,11.4,1.6,1.7,3.3,1.8
Vít Krej?í,24,ATL,PG,0.661,0.705,2,13.1,7.4,16.5,1.5,2.1,13.8,12.9,0,0.7,0.7,0.8
Jonathan Kuminga,22,GSW,PF,0.535,0.266,5.1,15.6,10.2,14.6,1.6,1.7,9.6,27.4,-0.5,-0.1,-0.6,0.4
Kyle Kuzma,29,2TM,PF,0.514,0.369,3,17.1,10.2,12.1,0.9,0.9,13.5,24,-2.9,-2,-4.9,-1.4
Skal Labissière,28,SAC,PF,0.625,0.25,9.3,18.7,14,11.6,0,0,0,14.3,3.3,-1.3,2.1,0
Jock Landale,29,HOU,C,0.59,0.171,11.7,17.6,14.6,10.3,1.3,1.8,11,15.7,0,0.4,0.4,0.3
Jake LaRavia,23,2TM,PF,0.591,0.421,7.2,13.3,10.3,14.6,2.2,1.6,18.2,14.4,-0.8,1.1,0.2,0.8
Pelle Larsson,23,MIA,SG,0.546,0.468,4,9,6.5,11.6,2,0.9,9.5,14.4,-3.8,0.7,-3.1,-0.2
Zach LaVine,29,2TM,SG,0.639,0.438,0.9,12,6.5,18.3,1.1,0.4,13.4,25.3,2.3,-1.6,0.7,1.8
A.J. Lawson,24,TOR,SG,0.542,0.532,4.3,14.9,9.5,9.1,1.3,1.2,6.4,20,-1.5,-1,-2.5,-0.1
Damion Lee,32,PHO,SG,0.499,0.5,2.4,12.8,7.8,11.5,2.1,0,10.7,28.6,-2.9,-2.1,-5.1,-0.1
Alex Len,31,2TM,C,0.525,0.143,11.3,16.7,14,12.6,1.2,5.4,22.1,10.3,-3.9,1.2,-2.6,-0.1
Kawhi Leonard,33,LAC,SF,0.589,0.305,3.4,17.4,10.5,16.4,2.5,1.4,9.6,27.7,2.5,0.6,3.1,1.5
Malevy Leons,25,OKC,SF,0.266,0.5,5.2,10,7.7,5.1,0,0,21,9.6,-10.4,-1.9,-12.4,-0.1
Caris LeVert,30,2TM,SG,0.582,0.474,2.8,11,6.9,18.1,1.7,1.9,10.2,19.4,0.8,0.1,0.9,1.2
Maxwell Lewis,22,2TM,SF,0.516,0.463,6,13.5,9.5,9,1.4,2.1,11.1,16.9,-3.2,-1.1,-4.4,-0.2
E.J. Liddell,24,CHI,PF,0.661,0.667,6,11.7,8.9,7.6,0.9,1.6,11.2,14.1,-2.7,-1.4,-4.1,0
Damian Lillard,34,MIL,PG,0.621,0.528,1.6,12.1,7.1,29.7,1.6,0.4,12.2,27.8,4.7,-0.6,4,3.2
Dereck Lively II,20,DAL,C,0.704,0,13.9,21.3,17.7,14.3,1.2,5.7,15.5,13.6,1.1,2.2,3.3,1.1
Chris Livingston,21,MIL,SF,0.441,0.296,10.7,24.6,17.9,6,2.3,0,15,16.6,-5,-1.1,-6.1,-0.1
Kevon Looney,28,GSW,C,0.535,0.018,16.9,26.9,21.8,14.3,2,3.1,10.8,13.3,-1,1.3,0.3,0.7
Brook Lopez,36,MIL,C,0.624,0.482,5,11.8,8.6,7.8,0.9,5.4,9.1,15.8,0.4,0.4,0.8,1.8
Kevin Love,36,MIA,PF,0.488,0.583,9.8,31.4,20.7,13.1,3,1.5,10.1,24.6,-0.3,0.7,0.4,0.2
Kyle Lowry,38,PHI,PG,0.525,0.752,1.8,10,5.8,19.2,2.5,1.6,13.8,10.1,-2.8,1.5,-1.3,0.1
Trey Lyles,29,SAC,PF,0.551,0.636,6.6,19.6,13.1,7.9,1.5,1.7,8.7,14.3,-0.4,-0.3,-0.7,0.4
Sandro Mamukelashvili,25,SAS,PF,0.628,0.573,9.7,19.7,14.7,10.7,1.6,2.3,7.8,20.8,3.3,-1,2.3,0.7
Terance Mann,28,2TM,SG,0.584,0.395,5.3,10.4,7.8,11.7,1.6,1,9.6,14.7,-1.4,0,-1.3,0.2
Tre Mann,23,CHO,PG,0.537,0.373,3.9,8.9,6.3,21.2,1.1,1.2,12.8,26,-0.6,-1.9,-2.4,0
Lauri Markkanen,27,UTA,PF,0.571,0.57,5.3,14.9,10.1,7.5,1.1,1.1,7.8,24,1.8,-2.1,-0.3,0.7
Naji Marshall,27,DAL,SF,0.584,0.306,4.4,14,9.3,15.8,1.8,0.5,12.5,20,-0.3,-0.5,-0.8,0.6
Caleb Martin,29,2TM,SF,0.513,0.339,4.8,11.7,8.2,10.7,1.9,1.8,13.9,14.4,-2.9,-0.2,-3.2,-0.4
Cody Martin,29,2TM,SF,0.509,0.465,4.8,15.9,10.3,13,2.4,2.7,12.7,14.7,-2.8,1.1,-1.7,0.1
Jaylen Martin,21,2TM,SF,0.497,0.311,4.8,14.4,9.6,10.3,1.8,0,13.3,15.9,-4.5,-1.9,-6.3,-0.3
KJ Martin,24,2TM,PF,0.618,0.289,3.6,11.8,7.6,7.4,0.9,2.3,9.8,11.5,-3.2,-0.3,-3.6,-0.4
Tyrese Martin,25,BRK,SG,0.533,0.606,4.8,14.6,9.5,14.6,1.3,0.7,13.1,18.8,-1.4,-1.2,-2.6,-0.2
Garrison Mathews,28,ATL,SG,0.606,0.848,1.7,10,5.7,9.3,1.5,1.7,9.6,15.9,-1.1,-0.5,-1.6,0.1
Bennedict Mathurin,22,IND,SF,0.579,0.338,4.6,15.2,9.9,8.8,1.1,1,11.9,22.8,-1.3,-1.5,-2.9,-0.5
Karlo Matkovi?,23,NOP,PF,0.639,0.281,8.5,20.4,14.2,8.6,1.3,5,14.5,15.9,-1.9,-0.2,-2,0
Tyrese Maxey,24,PHI,PG,0.562,0.438,0.8,9.6,5,28,2.3,1.1,9.2,29.8,3.2,-1.1,2,2
Miles McBride,24,NYK,SG,0.531,0.57,3.4,8.1,5.8,15.6,2.1,1,6.7,16.8,-0.4,0.4,0,0.8
Jared McCain,20,PHI,SG,0.589,0.485,2.4,8.6,5.4,16.7,1.2,0,11,24.7,1.8,-1.6,0.2,0.3
Mac McClung,26,ORL,SG,0,0.5,0,12.1,5.7,37.8,0,0,0,8.7,-10.2,-0.8,-11,0
CJ McCollum,33,NOP,PG,0.55,0.459,2.4,10.3,6.2,20.6,1.2,1.3,9,27.2,1.2,-2.6,-1.4,0.3
T.J. McConnell,32,IND,PG,0.547,0.079,3.5,11.6,7.6,37,2.8,1.3,14.2,23.4,0.6,0.6,1.2,1.2
Kevin McCullar Jr.,23,NYK,SF,0.381,0.143,0,31.3,15.8,8.4,1.7,3.2,0,11.8,-8.5,1.3,-7.2,0
Jaden McDaniels,24,MIN,PF,0.562,0.363,5.6,14.2,10,9,2.1,2.6,9.6,16.3,-1.4,1.4,0,1.4
Jalen McDaniels,27,WAS,SF,,,0,0,0,17.4,6.8,0,,0,-0.5,6,5.6,0
Doug McDermott,33,SAC,SF,0.617,0.863,1,6.2,3.6,2.8,0.6,0.6,4.8,15.7,-0.8,-2.4,-3.2,-0.1
Bryce McGowens,22,POR,SG,0.391,0.286,6.6,3.5,5.1,8.7,1.5,0,19.4,26.8,-9.9,-3.8,-13.6,-0.1
Jordan McLaughlin,28,2TM,PG,0.6,0.639,2.1,8.5,5.3,21,2.5,0.3,16.4,13.3,-1.6,0,-1.6,0
Jack McVeigh,28,HOU,PF,0.412,0.765,4.9,7.6,6.2,3,0,4.2,10.5,18.2,-4.8,-3,-7.7,-0.1
De'Anthony Melton,26,GSW,SG,0.539,0.648,5.2,12.8,8.9,21.1,2.8,1.6,14.8,23.5,-1.6,0.8,-0.8,0
Sam Merrill,28,CLE,SG,0.583,0.868,3,8.9,6.1,9.6,1.8,0.9,7.4,14.3,-0.4,0.7,0.3,0.8
Vasilije Mici?,31,2TM,PG,0.462,0.458,2.7,9.6,6,24.3,0.9,0,20.9,19.9,-4.6,-2.4,-7,-1
Khris Middleton,33,2TM,SF,0.588,0.395,1.7,15.4,8.7,26.8,2,0.9,13,22,0.4,0.3,0.7,0.6
Brandon Miller,22,CHO,SF,0.54,0.597,2.8,12.5,7.6,18.3,1.5,2.1,12.6,27.7,0.8,-0.8,0,0.4
Emanuel Miller,24,CHI,PF,0.563,0.125,17.1,16.5,16.8,10.9,1.9,0,0,14.8,-0.9,-0.9,-1.8,0
Jordan Miller,25,LAC,SF,0.509,0.284,6.3,9.3,7.8,11.2,2,1.2,14.8,18.2,-3,0.2,-2.8,-0.1
Leonard Miller,21,MIN,SF,0.54,0.333,10.6,27.3,19.1,0,3.1,2.9,9.7,27.8,-3.4,-0.3,-3.7,0
Patty Mills,36,2TM,PG,0.543,0.781,1.4,6,3.7,11.1,1.9,0.9,14.3,15.6,-3.2,0,-3.2,-0.1
Shake Milton,28,2TM,SG,0.563,0.417,4.2,9.9,7,18.3,1.5,0.5,12.5,16.7,-1.7,-0.5,-2.2,0
Justin Minaya,25,POR,SF,0.411,0.476,5.2,5.5,5.4,9.1,2.9,0.9,18.6,11.1,-7.1,1.7,-5.4,-0.1
Riley Minix,24,SAS,SF,0,1,0,30.7,15.3,0,0,0,0,6.1,-8.5,-3.3,-11.8,0
Josh Minott,22,MIN,SF,0.605,0.478,4.9,13.8,9.4,9.5,2.7,4,10.1,17.2,-0.7,2.9,2.2,0.3
Yves Missi,20,NOP,C,0.572,0.002,13.7,19.7,16.6,7.2,0.9,4.8,12.4,14.3,-1.6,-1.4,-3,-0.5
Ajay Mitchell,22,OKC,SG,0.587,0.326,3.3,8.8,6.1,13.8,2,0.7,12.7,16.2,-2.5,0.9,-1.6,0.1
Davion Mitchell,26,2TM,PG,0.573,0.443,1.9,7.1,4.5,24.2,1.7,0.8,20,13.6,-2.8,0.2,-2.6,-0.3
Donovan Mitchell,28,CLE,SG,0.575,0.48,2.8,12.5,7.8,23.9,2,0.7,9.2,30.9,3.8,-0.2,3.7,3.2
Evan Mobley,23,CLE,PF,0.633,0.254,8.4,24,16.5,15.1,1.4,4.7,12.2,23.2,3.1,1.5,4.6,3.6
Isaiah Mobley,25,PHI,PF,0.381,0.429,6.4,20.8,13.3,41.8,2.9,5.8,0,20.2,0,4.8,4.7,0
Jonathan Mogbo,23,TOR,PF,0.496,0.197,8.9,17.3,13,15.3,2.1,2.5,15.1,15,-2.9,1,-1.9,0
Malik Monk,26,SAC,SG,0.549,0.456,1.6,11.7,6.7,25.7,1.5,1.8,13.5,24.6,0.3,-1.1,-0.8,0.6
Moses Moody,22,GSW,SG,0.578,0.593,3.3,9.2,6.2,8.3,1.7,1.8,7.9,17.4,-0.9,0,-0.9,0.5
Taze Moore,26,POR,SG,0.276,0.4,21.1,22.3,21.7,6.8,4.9,0,15.5,26.8,-3.9,-0.4,-4.3,0
Wendell Moore Jr.,23,2TM,SG,0.553,0.325,6.4,14.3,10.3,11.6,1.9,1,16.6,13.8,-2.6,-0.1,-2.7,-0.1
Ja Morant,25,MEM,PG,0.563,0.321,2.4,11.8,7.1,36,1.9,0.7,15.2,32.2,3.1,-0.7,2.4,1.7
Markieff Morris,35,2TM,PF,0.385,0.514,2.1,13.1,7.8,17.5,0.6,1.7,6.4,20.5,-5.2,-2.5,-7.6,-0.2
Monte Morris,29,PHO,PG,0.546,0.441,2.4,10.5,6.5,18.1,1.7,0.5,9,18.1,-1,-0.8,-1.8,0
Trey Murphy III,24,NOP,SF,0.598,0.522,2.7,13.2,7.8,15.9,1.5,2,9.9,23.7,2.1,-1.4,0.8,1.3
Dejounte Murray,28,NOP,PG,0.494,0.352,1.8,20.1,10.7,34.6,3,1.1,16.2,27.3,-1.3,-0.3,-1.6,0.1
Jamal Murray,27,DEN,PG,0.584,0.354,2.2,9.3,5.9,23.2,1.8,1.2,10.1,24,1.8,-1,0.8,1.7
Keegan Murray,24,SAC,PF,0.553,0.548,6.3,15.5,10.9,5.6,1.1,2.6,6.6,15,-0.8,-0.8,-1.6,0.2
Kris Murray,24,POR,SF,0.472,0.43,7.7,11.3,9.5,9,1.6,1.5,12.4,13.9,-3.1,0.1,-3,-0.3
Svi Mykhailiuk,27,UTA,SF,0.526,0.672,3.1,9.6,6.4,14.7,1.2,0.9,14.1,20.3,-1.4,-2.1,-3.5,-0.3
Larry Nance Jr.,32,ATL,PF,0.632,0.49,5.3,19.4,12.2,11.3,2,2.6,9.1,15.7,1.1,0.7,1.8,0.4
Pete Nance,24,2TM,C,0.578,0.75,4,12.9,8.4,9.7,0.7,1.4,10.8,11.7,-3.1,-1.7,-4.9,-0.1
Andrew Nembhard,25,IND,SG,0.545,0.325,2,10.7,6.4,22.5,2,0.5,15.8,16.3,-2.6,0.3,-2.3,-0.1
Aaron Nesmith,25,IND,SF,0.653,0.515,3.7,13.9,8.8,6.6,1.5,1.4,8.2,17.4,0,-0.5,-0.5,0.4
Tristen Newton,23,2TM,SG,0.178,0.375,14.1,13.6,13.9,15.4,3.1,0,19.2,28.2,-16.7,-4,-20.7,-0.1
Georges Niang,31,2TM,PF,0.607,0.66,3.1,14.3,8.7,8.8,0.8,0.8,11.3,17.9,-1.1,-1.2,-2.3,-0.1
Daishen Nix,22,MIN,PG,0.266,1,0,33.6,17.1,27.2,0,0,68,19.6,-14.9,-1.2,-16.2,0
Zeke Nnaji,24,DEN,PF,0.574,0.369,6.3,9.8,8.1,4.6,2,5.6,8,12.2,-2.1,0.7,-1.3,0.1
Miles Norris,24,BOS,PF,0.354,0.778,6.2,21.7,14,0,2.9,2.6,0,12.4,-2.3,0.4,-1.9,0
Jaylen Nowell,25,NOP,SG,0.43,0.37,3.7,9.3,6.4,15.6,0.3,2.3,9.3,21.6,-3.2,-2.5,-5.7,-0.2
Jusuf Nurki?,30,2TM,C,0.555,0.298,8.8,32,20.5,16.8,1.9,3.1,19.2,20.6,-2.2,0.9,-1.3,0.2
Royce O'Neale,31,PHO,SF,0.585,0.774,3.3,17.5,10.6,12.3,1.8,1.7,10.1,15.5,0.2,-0.1,0.1,1
Jahlil Okafor,29,IND,C,,,0,36.8,18.6,37,0,0,,0,2.5,4.9,7.5,0
Chuma Okeke,26,2TM,PF,0.641,0.7,11.7,15.5,13.5,10.5,1.3,2,6.8,9.8,1.6,-1.8,-0.2,0.1
Josh Okogie,26,2TM,SG,0.567,0.434,8,11.8,9.9,7.9,3.8,2.8,11.1,19.5,-0.1,1.6,1.5,0.6
Onyeka Okongwu,24,ATL,C,0.634,0.216,11.4,24,17.5,11.4,1.6,3,10.4,17.3,1.2,0.2,1.3,1.7
Isaac Okoro,24,CLE,SG,0.587,0.566,5.2,8.1,6.7,8,1.5,1.4,7.4,12.5,-1.1,0.6,-0.5,0.4
Quincy Olivari,23,LAL,PG,0.3,1,0,0,0,13.3,0,0,16.7,26.3,-10.1,-8.5,-18.6,0
Kelly Olynyk,33,2TM,C,0.609,0.295,7.3,17.9,12.4,20.5,1.8,2,19.4,18.5,-1.1,0.4,-0.7,0.3
Kelly Oubre Jr.,29,PHI,SF,0.551,0.327,5.1,15.4,10,7.9,2.2,1.4,8.9,18.9,-1.7,-0.6,-2.3,-0.1
Chris Paul,39,SAS,PG,0.58,0.636,1.5,12.3,6.9,34.8,2.2,0.9,17.1,14,0.3,0.5,0.8,1.6
Cameron Payne,30,NYK,PG,0.532,0.574,1.5,9.4,5.5,25.5,1.8,1.4,10,20.8,-0.1,-0.2,-0.2,0.5
Elfrid Payton,30,2TM,PG,0.34,0.049,3.1,13.9,8.3,43.3,2.3,2.1,32.1,15.2,-5.1,-1.3,-6.4,-0.6
Gary Payton II,32,GSW,SG,0.635,0.319,6,15.8,10.7,13.5,2.7,1.7,11,16.1,-0.5,2,1.4,0.8
Drew Peterson,25,BOS,PF,0.601,0.805,5.3,18.1,11.7,9.1,1.3,1,15.1,12.5,-1.8,1,-0.8,0.1
Julian Phillips,21,CHI,SF,0.571,0.533,6.4,9.4,7.9,4.4,1.6,1.5,7.8,12.9,-2.6,-0.4,-3,-0.3
Jalen Pickett,25,DEN,SG,0.545,0.561,2.6,8.8,5.9,19.5,1.4,0.7,11.6,13.2,-0.8,-0.7,-1.5,0.1
Scotty Pippen Jr.,24,MEM,PG,0.582,0.369,4.1,12.1,8.1,27.1,2.8,1.6,17.1,19.3,0,1.8,1.9,1.7
Daeqwon Plowden,26,ATL,SG,0.831,0.68,5.9,10.9,8.4,4.1,0,0,13.4,17,1.5,-1.5,-0.1,0
Mason Plumlee,34,PHO,C,0.645,0.02,10.2,28.4,19.5,13.6,1.3,3.4,18.6,10.8,-1.5,1,-0.6,0.5
Brandin Podziemski,21,GSW,SG,0.557,0.491,4,16.8,10.2,18.7,2,0.7,10.1,18.3,-0.1,0.8,0.7,1.2
Jakob Poeltl,29,TOR,C,0.641,0.005,11.7,23.3,17.4,14.5,1.9,4,14.7,18.7,0.7,1.3,2,1.7
Jordan Poole,25,WAS,SG,0.591,0.588,1.6,9,5.3,25.6,2,1.2,14.8,29,2,-1.6,0.4,1.2
Craig Porter Jr.,24,CLE,PG,0.61,0.343,4.1,9.9,7.1,17.7,1.6,2.6,19.8,15.9,0.1,1,1.1,0.4
Kevin Porter Jr.,24,2TM,SG,0.531,0.271,3.2,17.3,10.4,25.9,2.7,0.9,15.8,25.4,-1.6,0.9,-0.6,0.5
Michael Porter Jr.,26,DEN,SF,0.617,0.467,6.1,16.2,11.4,8.7,0.9,1.3,8.4,20.2,1.6,-1.7,-0.1,1.2
Bobby Portis,29,MIL,PF,0.542,0.299,8.2,27,18,12.9,1.4,1.9,8.3,24.1,0.6,-0.4,0.2,0.7
Kristaps Porzi??is,29,BOS,C,0.618,0.436,6.1,19.3,12.8,11.4,1.3,4.8,7.4,25.9,3.5,1.2,4.7,2.1
Quinten Post,24,GSW,PF,0.595,0.653,5.3,18.3,11.6,12.2,1.1,2.5,10.3,19.6,0.1,0,0.1,0.4
Micah Potter,26,UTA,C,0.563,0.726,6.6,18.4,12.5,5.8,1,1.9,17.7,10.3,-2.9,-0.6,-3.5,-0.3
Dwight Powell,33,DAL,C,0.713,0.082,9.5,13.7,11.7,12.5,1.6,3.3,18.4,7.6,-1.5,1.5,0,0.3
Norman Powell,31,LAC,SG,0.615,0.453,1.2,9.6,5.5,10.2,1.8,0.5,9.2,26.1,1.7,-0.2,1.5,1.8
Taurean Prince,30,MIL,SF,0.613,0.652,1.8,12.2,7.2,9.4,1.7,0.6,13.3,12.5,-2,0.3,-1.7,0.1
Payton Pritchard,27,BOS,PG,0.633,0.723,4.9,9.8,7.3,18.1,1.5,0.6,8.4,19,3.4,0.2,3.5,3.2
Olivier-Maxence Prosper,22,DAL,PF,0.484,0.293,8.4,15,11.8,9.1,2.2,0.9,6.3,16.3,-1.6,-0.5,-2.1,0
