PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,PTS,REB,AST,STL,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT,PLUS_MINUS,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,TS%,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,BPM,VORP,Pos
Tyrese Martin,BKN,26,60,21.9,8.7,3.7,2,0.6,0.2,1.2,0.406,0.351,0.793,-4.3,78,215,2022,2,51,0.533,0.606,0.125,4.8,14.6,9.5,14.6,1.3,0.7,13.1,18.8,-1.4,-1.2,-2.6,SF
Tyrese Maxey,PHI,24,52,37.7,26.3,3.3,6.1,1.8,0.4,2.4,0.437,0.337,0.879,-2.4,74,200,2020,1,21,0.562,0.438,0.265,0.8,9.6,5,28,2.3,1.1,9.2,29.8,3.2,-1.1,2,PF
Tyus Jones,PHX,29,81,26.8,10.2,2.4,5.3,0.9,0.1,1.1,0.448,0.414,0.895,-1.1,73,196,2015,1,24,0.585,0.587,0.083,2.1,7.8,5,27.7,1.6,0.3,11.4,16.2,1.4,-1.3,0.1,C
Vasilije Micic,PHX,31,41,19.1,6.6,2.2,3.1,0.4,0,1.9,0.348,0.36,0.829,-3,75,188,2014,2,52,0.462,0.458,0.15,2.7,9.6,6,24.3,0.9,0,20.9,19.9,-4.6,-2.4,-7,SF
Victor Wembanyama,SAS,21,46,33.2,24.3,11,3.7,1.1,3.8,3.2,0.476,0.352,0.836,2.2,87,235,2023,1,1,0.594,0.47,0.221,5.7,29.8,17.7,18.3,1.6,10.4,13.7,30.4,3.6,2.9,6.5,PF
Vince Williams Jr.,MEM,24,27,18.5,6.6,3.6,2,0.4,0.3,1.2,0.401,0.274,0.792,0.2,76,205,2022,2,47,0.504,0.569,0.144,4.7,15.9,10.4,13.8,1.1,1.3,15.7,17,-2.5,-0.3,-2.8,SG
Vit Krejci,ATL,25,57,20.2,7.2,2.7,2.6,0.6,0.5,0.9,0.497,0.437,0.711,-1.2,80,195,2020,2,37,0.661,0.705,0.154,2,13.1,7.4,16.5,1.5,2.1,13.8,12.9,0,0.7,0.7,PF
Walker Kessler,UTA,23,58,30,11.1,12.2,1.7,0.6,2.4,1.5,0.663,0.176,0.52,-5.7,84,245,2022,1,22,0.66,0.081,0.363,16.6,27.1,21.9,8.3,1,7.4,15,13.7,1.1,0.7,1.8,PF
Wendell Carter Jr.,ORL,26,68,25.9,9.1,7.2,2,0.8,0.6,1.1,0.46,0.234,0.737,-0.2,82,270,2018,1,7,0.544,0.322,0.356,9.4,23.4,16,11.5,1.5,2.2,11.9,16,-2.2,0.9,-1.2,SG
Wendell Moore Jr.,CHA,23,36,13.9,4.2,2.6,1.2,0.6,0.1,0.8,0.468,0.341,0.818,-3.7,77,215,2022,1,26,0.553,0.325,0.175,6.4,14.3,10.3,11.6,1.9,1,16.6,13.8,-2.6,-0.1,-2.7,PG
